6.0M	ldapchai
6.3M	addon-administration
6.4M	rpgleparser
6.5M	kodokojo
6.5M	lib-jenkins-maven-embedder
6.6M	datanucleus-api-jdo
6.6M	jcabi-aspects
6.7M	javascad
7.0M	InflatableDonkey
7.0M	phtree
7.1M	openshift-restclient-java
7.2M	language-detector
7.3M	dictomaton
7.3M	iliasDownloaderTool
7.3M	Spigot-API
7.5M	marine-api
7.6M	spring-petclinic-rest
7.9M	ia-mame
8.1M	Bukkit-JavaDoc
8.1M	simplemagic
8.2M	mixer2
8.3M	atan
8.4M	braintree_java
8.4M	grapht
8.4M	parso
8.6M	ChestShop-3
9.0M	extdirectspring
9.1M	anomaly_detection
9.5M	fscrawler
9.5M	pengyifan-commons
9.6M	gauge-java
9.7M	docker-java
11M	halfnes
11M	jcodemodel
11M	sonar-scanner-maven
11M	spring-data-hazelcast
12M	cloudsync
12M	conciliator
12M	FaceRecognition
12M	Paguro
12M	piwik-java-tracker
12M	rythmengine
12M	setupmyproject
13M	district
13M	geometry-api-java
13M	heros
13M	lanterna
14M	datasource-proxy
14M	geopackage-core-java
14M	javarosa
