14M	MutabilityDetector
15M	Bastion
15M	KittehIRCClientLib
15M	Multiverse-Core
15M	sax-vsm_classic
16M	abra
16M	CoCoViLa
16M	flex-poker
16M	sdk-rest
17M	coffee-gb
17M	embedded-redis
17M	jackson-core
17M	mobile-deposit-api-devoxx2017
19M	bag-database
19M	facebook-recommender-demo
19M	fb-contrib
19M	java-lattices
20M	CFLint
20M	confluence_http_authenticator
20M	datanucleus-rdbms
21M	dune2themaker4j
21M	murmur
21M	samskivert
22M	Parabot
22M	restfb
23M	cts
23M	smartsheet-java-sdk
24M	gumtree-spoon-ast-diff
24M	lavagna
24M	SAX
26M	ojAlgo
28M	clp-java
29M	spring-angular2-cli-starter
30M	onebusaway-alexa
30M	spotify-web-api-java
31M	cos-java-sdk-v4
33M	google-sites-liberation
35M	biweekly
35M	java-html-sanitizer
36M	equalsverifier
38M	jcrfsuite
39M	fast-classpath-scanner
39M	mustangproject
40M	CommandHelper
43M	computoser
43M	grammarviz2_src
48M	cos-java-sdk
51M	java-grok
54M	mldht
61M	asterisk-java
