126M	AuthMeReloaded
40M	CommandHelper
19M	fb-contrib
65M	fess
39M	fast-classpath-scanner
8.1M	Bukkit-JavaDoc
9.7M	docker-java
61M	asterisk-java
7.5M	artifactory-plugin
9.0M	extdirectspring
20M	CFLint
11M	gerrit-trigger-plugin
20M	datanucleus-rdbms
8.4M	braintree_java
36M	equalsverifier
267M	BKCommonLib
16M	CoCoViLa
16M	flex-poker
21M	dune2themaker4j
4.9M	delivery-pipeline-plugin
4.5M	depgraph-maven-plugin
8.4M	grapht
35M	biweekly
3.5M	gitlab4j-api
605M	data-algorithms-book
16M	abra
2.4M	BlossomsPokemonGoManager
14M	datasource-proxy
6.3M	addon-administration
3.6M	getdown
2.1M	gerrit-events
8.6M	ChestShop-3
5.0M	branch-api-plugin
9.5M	fscrawler
3.0M	github-plugin
438M	ci-sauce
2.3M	config-file-provider-plugin
3.4M	contentful.java
3.8M	gerrit-rest-java-client
2.7M	copyartifact-plugin
9.6M	gauge-java
6.6M	datanucleus-api-jdo
43M	grammarviz2_src
6.0M	fat32-lib
3.2M	graph-maven-plugin
3.3M	fb-botmill
4.0M	exec-maven-plugin
4.6M	embedded-jmxtrans
4.0M	aspectj-maven-plugin
14M	geopackage-core-java
